Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
3.4032e-02,0.0290344
3.4064e-02,0.0296094
3.4096e-02,0.0305406
3.4128e-02,0.0298719
3.4160e-02,0.0291812
3.4192e-02,0.0292031
3.4224e-02,0.0298812
3.4256e-02,0.029625
3.4288e-02,0.0287844
3.4320e-02,0.0297031
3.4352e-02,0.0297875
3.4384e-02,0.0295281
3.4416e-02,0.0298719
3.4448e-02,0.0294187
3.4480e-02,0.028525
3.4512e-02,0.0279875
3.4544e-02,0.0279187
3.4576e-02,0.0277344
3.4608e-02,0.0273312
3.4640e-02,0.027175
3.4672e-02,0.0275187
3.4704e-02,0.0280219
3.4736e-02,0.0291562
3.4768e-02,0.0297406
3.4800e-02,0.0296812
3.4832e-02,0.0295562
3.4864e-02,0.0297531
3.4896e-02,0.029775
3.4928e-02,0.0291094
3.4960e-02,0.0292406
3.4992e-02,0.0290281
3.5024e-02,0.0286875
3.5056e-02,0.0286469
3.5088e-02,0.0296594
3.5120e-02,0.0295375
3.5152e-02,0.0286469
3.5184e-02,0.0276375
3.5216e-02,0.0272125
3.5248e-02,0.0268469
3.5280e-02,0.0275562
3.5312e-02,0.0279719
3.5344e-02,0.027975
3.5376e-02,0.0277562
3.5408e-02,0.02805
3.5440e-02,0.0277156
3.5472e-02,0.027275
3.5504e-02,0.0268687
3.5536e-02,0.0263812
3.5568e-02,0.0264625
3.5600e-02,0.0270719
3.5632e-02,0.0270969
3.5664e-02,0.0279937
3.5696e-02,0.0285281
3.5728e-02,0.0282406
3.5760e-02,0.0277031
3.5792e-02,0.0272437
3.5824e-02,0.0274031
3.5856e-02,0.0278875
3.5888e-02,0.0279062
3.5920e-02,0.0273
3.5952e-02,0.0272406
3.5984e-02,0.0273312
3.6016e-02,0.0276437
3.6048e-02,0.0281719
3.6080e-02,0.027275
3.6112e-02,0.027425
3.6144e-02,0.027325
3.6176e-02,0.0276312
3.6208e-02,0.0272219
3.6240e-02,0.02715
3.6272e-02,0.0273406
3.6304e-02,0.0274187
3.6336e-02,0.0274
3.6368e-02,0.0275219
3.6400e-02,0.0269937
3.6432e-02,0.026675
3.6464e-02,0.0272312
3.6496e-02,0.0271719
3.6528e-02,0.0276469
3.6560e-02,0.026975
3.6592e-02,0.0263812
3.6624e-02,0.025875
3.6656e-02,0.0256344
3.6688e-02,0.0261125
3.6720e-02,0.0259844
3.6752e-02,0.0259812
3.6784e-02,0.0273219
3.6816e-02,0.0271906
3.6848e-02,0.026775
3.6880e-02,0.0265187
3.6912e-02,0.02645
3.6944e-02,0.0258312
3.6976e-02,0.0262844
3.7008e-02,0.0272625
3.7040e-02,0.0276969
3.7072e-02,0.0278281
3.7104e-02,0.0277937
3.7136e-02,0.0272781
3.7168e-02,0.0269437
3.7200e-02,0.0269281
3.7232e-02,0.0275844
3.7264e-02,0.0275562
3.7296e-02,0.0275125
3.7328e-02,0.0272719
3.7360e-02,0.0271781
3.7392e-02,0.0273469
3.7424e-02,0.0273406
3.7456e-02,0.0271687
3.7488e-02,0.0275906
3.7520e-02,0.0276187
3.7552e-02,0.0267156
3.7584e-02,0.0264062
3.7616e-02,0.0262812
3.7648e-02,0.0266344
3.7680e-02,0.0268937
3.7712e-02,0.0271625
3.7744e-02,0.0273406
3.7776e-02,0.0271562
3.7808e-02,0.0269969
3.7840e-02,0.0273781
3.7872e-02,0.0275187
3.7904e-02,0.0270156
3.7936e-02,0.02655
3.7968e-02,0.0262937
3.8000e-02,0.0261937
3.8032e-02,0.0263062
3.8064e-02,0.027275
3.8096e-02,0.0273281
3.8128e-02,0.0276687
3.8160e-02,0.0282719
3.8192e-02,0.0280062
3.8224e-02,0.0284906
3.8256e-02,0.0284312
3.8288e-02,0.0284
3.8320e-02,0.0285625
3.8352e-02,0.0277812
3.8384e-02,0.0275156
3.8416e-02,0.0276375
3.8448e-02,0.02705
3.8480e-02,0.0264656
3.8512e-02,0.0267375
3.8544e-02,0.0266375
3.8576e-02,0.0263781
3.8608e-02,0.0272031
3.8640e-02,0.02695
3.8672e-02,0.0273656
3.8704e-02,0.0270187
3.8736e-02,0.0273281
3.8768e-02,0.0272562
3.8800e-02,0.0278875
3.8832e-02,0.0295031
3.8864e-02,0.0289219
3.8896e-02,0.0279187
3.8928e-02,0.0280781
3.8960e-02,0.0287281
3.8992e-02,0.0290875
3.9024e-02,0.0304469
3.9056e-02,0.0299344
3.9088e-02,0.0301875
3.9120e-02,0.0300937
3.9152e-02,0.0297562
3.9184e-02,0.03035
3.9216e-02,0.0304875
3.9248e-02,0.0304062
3.9280e-02,0.0308406
3.9312e-02,0.0321562
3.9344e-02,0.0342437
3.9376e-02,0.0362187
3.9408e-02,0.0369844
3.9440e-02,0.0388375
3.9472e-02,0.0406312
3.9504e-02,0.04075
3.9536e-02,0.0406469
3.9568e-02,0.0418312
3.9600e-02,0.0415937
3.9632e-02,0.04125
3.9664e-02,0.0419094
3.9696e-02,0.0452719
3.9728e-02,0.0472469
3.9760e-02,0.0478625
3.9792e-02,0.0509062
3.9824e-02,0.0523062
3.9856e-02,0.0517844
3.9888e-02,0.0520469
3.9920e-02,0.0539125
3.9952e-02,0.0563406
3.9984e-02,0.0573625
4.0016e-02,0.0577531
4.0048e-02,0.057975
4.0080e-02,0.0599656
4.0112e-02,0.0634937
4.0144e-02,0.066225
4.0176e-02,0.0655187
4.0208e-02,0.0658844
4.0240e-02,0.06715
4.0272e-02,0.0667344
4.0304e-02,0.0682125
4.0336e-02,0.0712187
4.0368e-02,0.0744094
4.0400e-02,0.0759531
4.0432e-02,0.0771156
4.0464e-02,0.0763875
4.0496e-02,0.0758344
4.0528e-02,0.0769187
4.0560e-02,0.0781187
4.0592e-02,0.0773719
4.0624e-02,0.0761937
4.0656e-02,0.0757219
4.0688e-02,0.0755719
4.0720e-02,0.0762906
4.0752e-02,0.07575
4.0784e-02,0.0766
4.0816e-02,0.0780312
4.0848e-02,0.0790687
4.0880e-02,0.0767375
4.0912e-02,0.0755062
4.0944e-02,0.0724187
4.0976e-02,0.0727906
4.1008e-02,0.0723906
4.1040e-02,0.0722969
4.1072e-02,0.0712656
4.1104e-02,0.0702469
4.1136e-02,0.0699969
4.1168e-02,0.0685125
4.1200e-02,0.0676906
4.1232e-02,0.06755
4.1264e-02,0.0659156
4.1296e-02,0.06255
4.1328e-02,0.060525
4.1360e-02,0.0591312
4.1392e-02,0.0582406
4.1424e-02,0.0579312
4.1456e-02,0.0566281
4.1488e-02,0.0552844
4.1520e-02,0.0530812
4.1552e-02,0.0501687
4.1584e-02,0.0471594
4.1616e-02,0.0463781
4.1648e-02,0.045775
4.1680e-02,0.0438281
4.1712e-02,0.042775
4.1744e-02,0.0425906
4.1776e-02,0.0423687
4.1808e-02,0.0413906
4.1840e-02,0.0401187
4.1872e-02,0.0388
4.1904e-02,0.0373
4.1936e-02,0.0363062
4.1968e-02,0.0359406
4.2000e-02,0.0363594
4.2032e-02,0.0365031
4.2064e-02,0.036625
4.2096e-02,0.035525
4.2128e-02,0.0335781
4.2160e-02,0.032625
4.2192e-02,0.0322062
4.2224e-02,0.0318594
4.2256e-02,0.0312094
4.2288e-02,0.0300719
4.2320e-02,0.0311281
4.2352e-02,0.0308375
4.2384e-02,0.0298094
4.2416e-02,0.0293906
4.2448e-02,0.028925
4.2480e-02,0.0294844
4.2512e-02,0.0293719
4.2544e-02,0.0292031
4.2576e-02,0.0283062
4.2608e-02,0.0290094
4.2640e-02,0.0288781
4.2672e-02,0.0283781
4.2704e-02,0.027775
4.2736e-02,0.028725
4.2768e-02,0.0298125
4.2800e-02,0.0293781
4.2832e-02,0.0288094
4.2864e-02,0.0285375
4.2896e-02,0.0278875
4.2928e-02,0.0282344
4.2960e-02,0.0287375
4.2992e-02,0.0287031
4.3024e-02,0.0287094
4.3056e-02,0.0286781
4.3088e-02,0.0286844
4.3120e-02,0.0284875
4.3152e-02,0.0280969
4.3184e-02,0.0272594
4.3216e-02,0.0264812
4.3248e-02,0.0259531
4.3280e-02,0.0259031
4.3312e-02,0.0258281
4.3344e-02,0.0260312
4.3376e-02,0.0271844
4.3408e-02,0.02775
4.3440e-02,0.0282031
4.3472e-02,0.0275937
4.3504e-02,0.0270344
4.3536e-02,0.0264562
4.3568e-02,0.0264187
4.3600e-02,0.0268312
4.3632e-02,0.0277344
4.3664e-02,0.0278125
4.3696e-02,0.0271937
4.3728e-02,0.0276187
